year,territory,nationality,sector,men,women,total
2016,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,356.3,153.0,509.3
2016,Total Nacional,Extranjera: Total,Agricultura,135.3,33.3,168.6
2016,Total Nacional,Extranjera: Total,Construcción,159.2,4.2,163.4
2016,Total Nacional,Extranjera: Total,Industria,133.5,36.9,170.4
2016,Total Nacional,Extranjera: Total,Servicios,630.5,847.7,1478.2
2016,Total Nacional,Extranjera: Total,Total,1058.5,922.1,1980.6
2016,Total Nacional,Extranjera: Unión Europea,Agricultura,41.1,15.8,57.0
2016,Total Nacional,Extranjera: Unión Europea,Construcción,70.5,2.1,72.6
2016,Total Nacional,Extranjera: Unión Europea,Industria,55.3,18.6,74.0
2016,Total Nacional,Extranjera: Unión Europea,Servicios,240.1,336.2,576.3
2016,Total Nacional,Extranjera: Unión Europea,Total,407.0,372.8,779.8
2016,Total Nacional,Total,Agricultura,595.9,178.7,774.5
2016,Total Nacional,Total,Construcción,989.2,84.7,1073.8
2016,Total Nacional,Total,Industria,1902.1,620.1,2522.2
2016,Total Nacional,Total,Servicios,6513.6,7457.3,13970.9
2016,Total Nacional,Total,Total,10000.8,8340.8,18341.5
2017,Total Nacional,Doble nacionalidad,Agricultura,9.4,4.0,13.3
2017,Total Nacional,Doble nacionalidad,Construcción,30.5,2.6,33.1
2017,Total Nacional,Doble nacionalidad,Industria,35.9,14.8,50.7
2017,Total Nacional,Doble nacionalidad,Servicios,149.0,280.8,429.7
2017,Total Nacional,Doble nacionalidad,Total,224.8,302.2,526.9
2017,Total Nacional,Española,Agricultura,473.6,153.7,627.4
2017,Total Nacional,Española,Construcción,836.5,93.2,929.7
2017,Total Nacional,Española,Industria,1797.3,600.6,2397.9
2017,Total Nacional,Española,Servicios,5826.2,6437.5,12263.7
2017,Total Nacional,Española,Total,8933.7,7285.0,16218.7
2017,Total Nacional,Extranjera: América Latina,Agricultura,22.3,7.9,30.2
2017,Total Nacional,Extranjera: América Latina,Construcción,46.4,0.6,47.0
2017,Total Nacional,Extranjera: América Latina,Industria,32.1,8.6,40.6
2017,Total Nacional,Extranjera: América Latina,Servicios,175.6,345.5,521.2
2017,Total Nacional,Extranjera: América Latina,Total,276.4,362.6,639.0
2017,Total Nacional,Extranjera: Resto de Europa,Agricultura,0.9,0.9,1.7
2017,Total Nacional,Extranjera: Resto de Europa,Construcción,11.3,0.0,11.3
2017,Total Nacional,Extranjera: Resto de Europa,Industria,9.8,3.8,13.6
2017,Total Nacional,Extranjera: Resto de Europa,Servicios,24.1,58.3,82.5
2017,Total Nacional,Extranjera: Resto de Europa,Total,46.1,63.0,109.2
2017,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,77.8,10.2,88.0
2017,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,30.2,0.1,30.2
2017,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,44.0,9.1,53.1
2017,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,199.7,142.1,341.8
2017,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,351.7,161.4,513.1
2017,Total Nacional,Extranjera: Total,Agricultura,141.7,37.2,178.8
2017,Total Nacional,Extranjera: Total,Construcción,162.2,3.3,165.5
2017,Total Nacional,Extranjera: Total,Industria,153.6,45.1,198.7
2017,Total Nacional,Extranjera: Total,Servicios,650.4,885.7,1536.1
2017,Total Nacional,Extranjera: Total,Total,1107.8,971.3,2079.1
2017,Total Nacional,Extranjera: Unión Europea,Agricultura,40.7,18.2,58.9
2017,Total Nacional,Extranjera: Unión Europea,Construcción,74.3,2.6,76.9
2017,Total Nacional,Extranjera: Unión Europea,Industria,67.7,23.7,91.3
2017,Total Nacional,Extranjera: Unión Europea,Servicios,251.0,339.7,590.7
2017,Total Nacional,Extranjera: Unión Europea,Total,433.6,384.3,817.9
2017,Total Nacional,Total,Agricultura,624.7,194.8,819.5
2017,Total Nacional,Total,Construcción,1029.2,99.1,1128.3
2017,Total Nacional,Total,Industria,1986.8,660.6,2647.4
2017,Total Nacional,Total,Servicios,6625.6,7604.0,14229.6
2017,Total Nacional,Total,Total,10266.3,8558.5,18824.8
2018,Total Nacional,Doble nacionalidad,Agricultura,9.8,3.6,13.4
2018,Total Nacional,Doble nacionalidad,Construcción,32.9,1.5,34.4
2018,Total Nacional,Doble nacionalidad,Industria,40.1,13.1,53.2
2018,Total Nacional,Doble nacionalidad,Servicios,178.0,319.6,497.6
2018,Total Nacional,Doble nacionalidad,Total,260.8,337.8,598.6
2018,Total Nacional,Española,Agricultura,475.2,151.5,626.7
2018,Total Nacional,Española,Construcción,895.6,99.2,994.8
2018,Total Nacional,Española,Industria,1823.7,636.0,2459.7
2018,Total Nacional,Española,Servicios,5897.1,6547.3,12444.4
2018,Total Nacional,Española,Total,9091.7,7434.0,16525.7
2018,Total Nacional,Extranjera: América Latina,Agricultura,23.7,6.4,30.1
2018,Total Nacional,Extranjera: América Latina,Construcción,52.1,1.6,53.7
2018,Total Nacional,Extranjera: América Latina,Industria,28.1,11.0,39.0
2018,Total Nacional,Extranjera: América Latina,Servicios,191.7,355.9,547.6
2018,Total Nacional,Extranjera: América Latina,Total,295.6,374.9,670.5
2018,Total Nacional,Extranjera: Resto de Europa,Agricultura,2.0,1.2,3.1
2018,Total Nacional,Extranjera: Resto de Europa,Construcción,13.7,0.2,13.9
2018,Total Nacional,Extranjera: Resto de Europa,Industria,8.4,1.9,10.3
2018,Total Nacional,Extranjera: Resto de Europa,Servicios,28.3,71.9,100.2
2018,Total Nacional,Extranjera: Resto de Europa,Total,52.3,75.3,127.5
2018,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,74.8,10.1,84.8
2018,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,32.3,0.8,33.1
2018,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,40.8,10.8,51.7
2018,Total Nacional,Extranjera: Resto del mundo y apátrida,Servicios,223.3,154.5,377.9
2018,Total Nacional,Extranjera: Resto del mundo y apátrida,Total,371.2,176.3,547.5
2018,Total Nacional,Extranjera: Total,Agricultura,136.4,36.0,172.4
2018,Total Nacional,Extranjera: Total,Construcción,186.9,5.6,192.5
2018,Total Nacional,Extranjera: Total,Industria,146.2,49.2,195.4
2018,Total Nacional,Extranjera: Total,Servicios,710.0,933.1,1643.1
2018,Total Nacional,Extranjera: Total,Total,1179.5,1024.0,2203.5
2018,Total Nacional,Extranjera: Unión Europea,Agricultura,36.0,18.4,54.3
2018,Total Nacional,Extranjera: Unión Europea,Construcción,88.9,2.9,91.8
2018,Total Nacional,Extranjera: Unión Europea,Industria,68.9,25.5,94.4
2018,Total Nacional,Extranjera: Unión Europea,Servicios,266.6,350.7,617.4
2018,Total Nacional,Extranjera: Unión Europea,Total,460.4,397.5,857.9
2018,Total Nacional,Total,Agricultura,621.4,191.2,812.6
2018,Total Nacional,Total,Construcción,1115.5,106.3,1221.8
2018,Total Nacional,Total,Industria,2010.0,698.3,2708.3
2018,Total Nacional,Total,Servicios,6785.1,7800.0,14585.1
2018,Total Nacional,Total,Total,10532.0,8795.7,19327.7
2019,Total Nacional,Doble nacionalidad,Agricultura,11.5,2.6,14.1
2019,Total Nacional,Doble nacionalidad,Construcción,38.9,1.5,40.5
2019,Total Nacional,Doble nacionalidad,Industria,45.6,18.0,63.6
2019,Total Nacional,Doble nacionalidad,Servicios,214.0,341.7,555.7
2019,Total Nacional,Doble nacionalidad,Total,310.1,363.8,673.9
2019,Total Nacional,Española,Agricultura,461.6,146.6,608.2
2019,Total Nacional,Española,Construcción,917.9,106.6,1024.6
2019,Total Nacional,Española,Industria,1800.0,658.4,2458.4
2019,Total Nacional,Española,Servicios,5953.9,6660.4,12614.3
2019,Total Nacional,Española,Total,9133.3,7572.1,16705.4
2019,Total Nacional,Extranjera: América Latina,Agricultura,20.8,5.7,26.5
2019,Total Nacional,Extranjera: América Latina,Construcción,63.6,1.5,65.1
2019,Total Nacional,Extranjera: América Latina,Industria,38.1,11.4,49.5
2019,Total Nacional,Extranjera: América Latina,Servicios,209.5,369.2,578.7
2019,Total Nacional,Extranjera: América Latina,Total,332.1,387.7,719.8
2019,Total Nacional,Extranjera: Resto de Europa,Agricultura,3.7,2.2,5.9
2019,Total Nacional,Extranjera: Resto de Europa,Construcción,18.3,0.8,19.1
2019,Total Nacional,Extranjera: Resto de Europa,Industria,6.6,3.8,10.4
2019,Total Nacional,Extranjera: Resto de Europa,Servicios,37.1,78.4,115.6
2019,Total Nacional,Extranjera: Resto de Europa,Total,65.8,85.3,151.0
2019,Total Nacional,Extranjera: Resto del mundo y apátrida,Agricultura,75.9,7.7,83.6
2019,Total Nacional,Extranjera: Resto del mundo y apátrida,Construcción,43.4,0.5,44.0
2019,Total Nacional,Extranjera: Resto del mundo y apátrida,Industria,49.6,12.6,62.2
