province_std,region,province_original,year,nationality,total_detentions
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Argelia,1410
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Argentina,60
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,Bangladesh,10
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Bélgica,20
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Bolivia,1390
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Brasil,350
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Bulgaría,50
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Camerún,340
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Chile,30
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,China,190
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Colombia,1170
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Cuba,80
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Ecuador,540
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,Filipinas,10
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Francia,330
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Gambia,190
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Ghana,160
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Guinea Bisau,490
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Guinea Ecuatorial,140
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Holanda,10
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,India,0
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,Irán,30
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Italia,30
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Lituania,60
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Mali,130
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Marruecos,5100
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Nigeria,300
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,Paquistán,50
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Paraguay,270
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Perú,280
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Polonia,30
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Portugal,320
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Reino Unido,0
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Rep. Dominicana,130
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Resto África,1060
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Resto América,160
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2011,Resto de Asia,130
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Resto de Europa,550
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Rumanía,3880
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Rusia,60
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2011,Senegal,180
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2011,Ucrania,40
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Uruguay,40
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2011,Venezuela,140
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Alemania,80
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Argelia,550
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Argentina,110
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,Bangladesh,0
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Bélgica,50
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Bolivia,240
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Brasil,220
Gipuzkoa,CONTINENTE EUROPEO,Gipuzkoa,2011,Bulgaría,70
Gipuzkoa,CONTINENTE AFRICANO,Gipuzkoa,2011,Camerún,30
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Chile,30
Gipuzkoa,CONTINENTE ASIÁTICO,Gipuzkoa,2011,China,40
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Colombia,590
Gipuzkoa,CONTINENTE AMERICANO,Gipuzkoa,2011,Cuba,100
